"Grant ID","to","from","Amount","Recipient ID","Funder ID","Start year","End year"
"2298","Wayne State University","Fred A. & Barbara M. Erb Family Foundation","30000","539","206","Sat, 01 Jan 2011 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"887","Wayne State University TechTown","New Economy Initiative","30000","544","388","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1816","Lions Hearing Center of Michigan","Carls Foundation","30000","317","592","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1060","Detroit Artists Market","Community Foundation for Southeast Michigan","29234","131","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"787","Detroit Symphony Orchestra","Skillman Foundation","29066","176","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2224","Junior Achievement of Southeastern Michigan, Inc","United Way for Southeastern Michigan","28560","295","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2083","The Yuinon, Inc","United Way for Southeastern Michigan","28480","495","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2104","Capuchin Soup Kitchen","United Way for Southeastern Michigan","28100","71","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1498","Coleman A. Young Foundation","DTE Energy Foundation","27500","107","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1291","Detroit Institute of Arts","Community Foundation for Southeast Michigan","27500","157","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
