"Grant ID","to","from","Amount","Recipient ID","Funder ID","Start year","End year"
"2479","Living Arts","Kresge Foundation","45000","320","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"716","People's Community Services of Metropolitan Detroit","Skillman Foundation","45000","409","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2060","KEB & Associates","United Way for Southeastern Michigan","42768","298","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2149","National Council on Alcoholism and Drug Dependence Greater Detroit Area","United Way for Southeastern Michigan","42330","380","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1315","United Way for Southeastern Michigan","Community Foundation for Southeast Michigan","42000","512","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2141","KEB & Associates","United Way for Southeastern Michigan","41706","298","512","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2583","Council of Michigan Foundations, Inc","Hudson-Webber Foundation","41000","117","274","Wed, 01 Feb 2012 00:00:00 -0500","Sun, 01 Dec 2013 00:00:00 -0500"
"2080","Arts League of Michigan, Inc","United Way for Southeastern Michigan","40500","33","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2063","Man Power Mentoring, Inc","United Way for Southeastern Michigan","40299","327","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"714","National Community Development Institute","Skillman Foundation","40000","379","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1210","Northeast Guidance Center","Community Foundation for Southeast Michigan","40000","395","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1788","Think Detroit PAL, Inc","Chrysler Foundation","40000","497","97","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2480","Arts & Scraps","Kresge Foundation","40000","32","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"2481","Detroit Public Library Friends Foundation","Kresge Foundation","40000","167","308","Sun, 01 Jan 2012 05:00:00 -0500","Tue, 01 Jan 2013 05:00:00 -0500"
"686","Boys and Girls Clubs of Southeastern Michigan","Skillman Foundation","40000","59","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"734","Wellspring","Skillman Foundation","40000","547","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1680","Notes for Notes","John S. and James L. Knight Foundation, Inc.","40000","624","306","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1232","Ruth Ellis Center, Inc","Community Foundation for Southeast Michigan","40000","441","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1857","Henry Ford Health System","Matilda R. Wilson Fund ","40000","263","631","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"705","Joy-Southfield Community Development Corporation","Skillman Foundation","40000","294","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2050","Greater Detroit Agency for the Blind and Visually Impaired","United Way for Southeastern Michigan","40000","249","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1618","Bollywood Music Festival - Michigan Philharmonic","John S. and James L. Knight Foundation, Inc.","40000","55","306","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2310","Detroiters Working for Environmental Justice","Fred A. & Barbara M. Erb Family Foundation","40000","185","206","Sun, 01 Jan 2012 00:00:00 -0500","Tue, 01 Jan 2013 00:00:00 -0500"
"2342","Detroiters Working for Environmental Justice","Fred A. & Barbara M. Erb Family Foundation","40000","185","206","Tue, 01 Jan 2013 00:00:00 -0500","Wed, 01 Jan 2014 00:00:00 -0500"
"2534","College for Creative Studies","Kresge Foundation","40000","108","308","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1491","Engineering Society of Detroit","DTE Energy Foundation","40000","204","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2068","National Council on Alcoholism and Drug Dependence Greater Detroit Area","United Way for Southeastern Michigan","40000","380","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1813","Christ Child Society of Detroit","Carls Foundation","40000","594","592","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2232","National Council on Alcoholism and Drug Dependence Greater Detroit Area","United Way for Southeastern Michigan","40000","380","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1638","ADULT","John S. and James L. Knight Foundation, Inc.","40000","587","306","Sun, 01 Sep 2013 00:00:00 -0400","Mon, 01 Sep 2014 00:00:00 -0400"
"1863","Youthville Detroit","Matilda R. Wilson Fund ","40000","633","631","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2219","Greater Detroit Agency for the Blind and Visually Impaired","United Way for Southeastern Michigan","40000","249","512","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"2090","Wayne County","United Way for Southeastern Michigan","39300","535","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"728","University Cultural Center Association","Skillman Foundation","39000","513","454","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1492","Gleaners Community Food Bank, Inc","DTE Energy Foundation","38750","242","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1493","Detroit Area Agency on Aging","DTE Energy Foundation","38500","129","191","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1255","Sphinx Organization, Inc","Community Foundation for Southeast Michigan","38428","468","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"894","Detroit Regional Chamber Foundation, Inc","New Economy Initiative","38250","169","388","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1091","Detroit Regional Chamber Foundation, Inc","Community Foundation for Southeast Michigan","38250","169","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1429","Wayne State University","Ford Foundation","38080","539","225","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2065","Metro Detroit AFL-CIO Joint Council","United Way for Southeastern Michigan","37750","337","512","Sun, 01 Jan 2012 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"1101","Detroit Science Center","Community Foundation for Southeast Michigan","37680","174","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
"2009","Third Sector New England, Inc","W.K. Kellogg Foundation","37500","498","301","Tue, 01 Jan 2013 05:00:00 -0500","Wed, 01 Jan 2014 05:00:00 -0500"
"1116","Detroit Zoological Society","Community Foundation for Southeast Michigan","37500","183","111","Sat, 01 Jan 2011 05:00:00 -0500","Sun, 01 Jan 2012 05:00:00 -0500"
